lga,lat,lon
Melton,-37.6691,144.5437
Whittlesea,-37.5139,145.1139
Cardinia,-38.1135,145.5802
Maroondah,-37.8097,145.2591
Greater Dandenong,-38.0061,145.2038
Nillumbik,-37.5977,145.2701
Brimbank,-37.7595,144.8071
Knox,-37.8715,145.2480
Casey,-38.1105,145.2922
Hume,-36.1078,147.0315
Frankston,-38.1580,145.1350
Banyule,-37.7314,145.0824
Manningham,-37.7669,145.1597
Hobsons Bay,-37.8361,144.8401
Wyndham,-15.4825,128.1228
Kingston,-37.9819,145.1045
Whitehorse,-60.7212,135.0568
Moonee Valley,-37.7465,144.9061
Monash,-37.9016,145.1155
Bayside,-37.9333,145.0163
Yarra Ranges,-37.7451,145.7134
Maribyrnong,-37.7951,144.8841
Glen Eira,-37.9035,145.0383
Boroondara,-37.8119,145.0714
Darebin,-37.7278,145.0163
Moreland,-37.7241,144.9502
Stonnington,-37.8596,145.0328
Yarra,-37.7979,144.9887
Port Phillip,-38.1732,144.8731
Melbourne,-37.8136,144.9631
